City;Location;Coordinates;Country Code;Pollutant;Source Name;Unit;Value;Last Updated;Country
Brussels;Belgium - Brussels - 41N043 - HAREN;50.88356,4.382963;BE;CO;EEA Belgium;µg/m³;12.0;2017-07-21T00:00:00+02:00;Belgium
Flanders;Belgium - Flanders - 42N016 - DESSEL;51.233654,5.163979;BE;NO2;EEA Belgium;µg/m³;10.0;2017-07-21T00:00:00+02:00;Belgium
Flanders;Belgium - Flanders - 42N045 - HASSELT;50.939713,5.3683786;BE;PM2.5;EEA Belgium;µg/m³;25.0;2017-01-06T11:00:00+01:00;Belgium
Flanders;Belgium - Flanders - 42R802 - BORGERHOUT;51.20952,4.4317923;BE;NO2;EEA Belgium;µg/m³;31.0;2017-07-21T00:00:00+02:00;Belgium
Flanders;Belgium - Flanders - 42R811 - SCHOTEN;51.2521,4.491362;BE;O3;EEA Belgium;µg/m³;55.5;2017-07-21T00:00:00+02:00;Belgium
Flanders;Belgium - Flanders - 42R830 - DOEL;51.31823,4.262634;BE;SO2;EEA Belgium;µg/m³;8.0;2017-01-06T11:00:00+01:00;Belgium
Wallonia;Belgium - Wallonia - 43N063 - CORROY L.G.;50.655437,4.6682878;BE;PM10;EEA Belgium;µg/m³;8.771;2017-07-21T00:00:00+02:00;Belgium
Wallonia;Belgium - Wallonia - 43R240 - ENGIS;50.583614,5.397446;BE;SO2;EEA Belgium;µg/m³;3.5;2017-07-21T00:00:00+02:00;Belgium
Flanders;Belgium - Flanders - 44R740 - ST.KRUIS-WI;51.150135,3.8087354;BE;O3;EEA Belgium;µg/m³;45.5;2017-07-21T00:00:00+02:00;Belgium
Wallonia;Belgium - Wallonia - 45R502 - LODELINSART;50.428997,4.4586806;BE;PM10;EEA Belgium;µg/m³;12.271;2017-07-21T00:00:00+02:00;Belgium
Flanders;Belgium - Flanders - 47E704 - WACHTEBEKE;51.1761,3.8699281;BE;NO2;EEA Belgium;µg/m³;12.5;2017-07-21T00:00:00+02:00;Belgium
Oost-Vlaanderen;Belgium - Oost-Vlaanderen - BELAL05;51.26312,4.2788897;BE;PM2.5;EEA Belgium;µg/m³;7.5;2020-12-20T02:00:00+01:00;Belgium
Antwerpen;Belgium - Antwerpen - BELSA04;51.31393,4.403868;BE;PM10;EEA Belgium;µg/m³;10.0;2020-12-20T02:00:00+01:00;Belgium
Oost-Vlaanderen;Belgium - Oost-Vlaanderen - BETM702;51.166023,3.7621374;BE;NO2;EEA Belgium;µg/m³;10.5;2020-12-20T02:00:00+01:00;Belgium
Hainaut;Belgium - Hainaut - BETN060;50.61672,3.4576244;BE;NO2;EEA Belgium;µg/m³;5.5;2020-12-20T02:00:00+01:00;Belgium
Liege;Belgium - Liege - BETN066;50.62886,6.002329;BE;SO2;EEA Belgium;µg/m³;1.0;2020-12-20T02:00:00+01:00;Belgium
Luxembourg;Belgium - Luxembourg - BETN121;49.87713,5.202387;BE;O3;EEA Belgium;µg/m³;53.5;2020-12-20T02:00:00+01:00;Belgium
Oost-Vlaanderen;Belgium - Oost-Vlaanderen - BETR750;51.196064,3.82292;BE;SO2;EEA Belgium;µg/m³;1.0;2020-01-17T02:00:00+01:00;Belgium
Antwerpen;Belgium - Antwerpen - BETR815;51.2147,4.3322062;BE;PM2.5;EEA Belgium;µg/m³;19.0;2018-01-04T04:00:00+01:00;Belgium
Antwerpen;Belgium - Antwerpen - BETR817;51.17713,4.4179487;BE;NO2;EEA Belgium;µg/m³;6.5;2020-12-20T02:00:00+01:00;Belgium
Flanders;Belgium - Flanders - 40OB01 - OOSTROZEBEK;50.91723,3.3073857;BE;PM2.5;EEA Belgium;µg/m³;40.0;2017-07-21T00:00:00+02:00;Belgium
Brussels;Belgium - Brussels - 41R001 - MOLENBEEK;50.849667,4.33382;BE;PM10;EEA Belgium;µg/m³;12.5;2017-07-21T00:00:00+02:00;Belgium
