,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,junction,tunnel,ref,access,service,bridge,width
169,62017783,True,Avenue Franklin Roosevelt - Franklin Rooseveltlaan,primary,50,12.912,"LINESTRING (4.3777777 50.8135679, 4.3778437 50.8134833, 4.3778578 50.8134634)",2,,,,,,,
170,4306815,True,Avenue Franklin Roosevelt - Franklin Rooseveltlaan,unclassified,50,15.712,"LINESTRING (4.3792134 50.8121429, 4.3794258 50.8121871)",,,,,,,,
171,62017783,True,Avenue Franklin Roosevelt - Franklin Rooseveltlaan,primary,50,19.438,"LINESTRING (4.3792134 50.8121429, 4.3793522 50.8120349, 4.3793878 50.8120072)",2,,,,,,,
172,62018672,True,,primary,50,12.622,"LINESTRING (4.3766265 50.8153826, 4.3764477 50.8153715)",,,,,,,,
173,4306783,True,Avenue Franklin Roosevelt - Franklin Rooseveltlaan,primary,50,19.559,"LINESTRING (4.3766265 50.8153826, 4.3765675 50.8154535, 4.3764929 50.8155369)",,,,,,,,
174,628781006,True,Avenue Louise - Louizalaan,residential,30,29.593,"LINESTRING (4.3659266 50.8256399, 4.3656863 50.8258585)",,,,,,,,
175,7682863,False,Rue Dautzenberg - Dautzenbergstraat,residential,30,90.89300000000001,"LINESTRING (4.3659266 50.8256399, 4.3659872 50.825675, 4.3667198 50.8261907, 4.3667966 50.8262447)",,,,,,,,
176,4730648,False,Rue du Beau Site - Welgelegenstraat,residential,30,155.705,"LINESTRING (4.362796 50.8286768, 4.3639388 50.8298767)",,,,,,,,
177,40493385,True,Avenue Louise - Louizalaan,residential,30,59.64700000000001,"LINESTRING (4.362796 50.8286768, 4.362439 50.8290185, 4.3624126 50.8290438, 4.3623314 50.8291258)",,,,,,,,
178,807865909,True,,cycleway,,11.146,"LINESTRING (4.362796 50.8286768, 4.3627787 50.8286518, 4.3627 50.8285984)",,,,,,,,
179,628782529,True,Avenue Louise - Louizalaan,secondary,30,126.192,"LINESTRING (4.3589353 50.8317833, 4.3589957 50.8317211, 4.3593811 50.8313244, 4.359875 50.830816)",,,,,,,,
180,40505467,False,Rue Franklin - Franklinstraat,residential,30,168.713,"LINESTRING (4.3838475 50.8441479, 4.384052 50.8442471, 4.3841499 50.8442849, 4.3842007 50.8443046, 4.3847993 50.8445429, 4.3857737 50.8449288, 4.3858708 50.8449651)",,,,,,,,
181,"[926170505, 151081839]",False,Rue Archimède - Archimedesstraat,residential,30,235.789,"LINESTRING (4.3838475 50.8441479, 4.3838374 50.8443219, 4.3838362 50.8443417, 4.3837044 50.8461048, 4.3836951 50.8462069, 4.3836919 50.8462661)",,,,,,,,
182,151081846,True,Rue Stevin - Stevinstraat,residential,30,120.808,"LINESTRING (4.3838475 50.8441479, 4.3836246 50.8441858, 4.3835933 50.8441928, 4.3830492 50.8443118, 4.3823185 50.8444742, 4.3823016 50.844491, 4.3822575 50.844529)",,,,,,,,
183,188864832,True,Rue Stevin - Stevinstraat,residential,30,200.622,"LINESTRING (4.3838475 50.8441479, 4.3840154 50.8440961, 4.3841024 50.8440809, 4.386372 50.8435913, 4.386422 50.8435766, 4.3865292 50.843534)",,,,,,,,
184,24604769,True,Avenue de Cortenbergh - Kortenberglaan,secondary,30,185.998,"LINESTRING (4.3865292 50.843534, 4.3864071 50.8434792, 4.3846037 50.8426724, 4.3845513 50.8426494, 4.3845169 50.8426343, 4.3843639 50.8425705)",3,,,N23,,,,
185,"[823385481, 823385483, 39633153]",False,,cycleway,,101.178,"LINESTRING (4.3865292 50.843534, 4.3866128 50.8435071, 4.3866375 50.8435071, 4.3866607 50.8435112, 4.3867418 50.8435475, 4.3875397 50.8439043, 4.387565 50.8439347, 4.3875895 50.8439472, 4.3876095 50.8439536, 4.3876295 50.843955, 4.3876551 50.8439504, 4.3877108 50.8439278)",,,,,,,,
186,"[660320697, 14363437]",False,Chaussée d'Etterbeek - Steenweg op Etterbeek,tertiary,30,264.326,"LINESTRING (4.3803531 50.8400553, 4.380413 50.8398736, 4.3804288 50.8398512, 4.3804568 50.8398119, 4.3805154 50.8397296, 4.3806289 50.8395612, 4.3806591 50.8395166, 4.3807104 50.8394204, 4.3807836 50.8391942, 4.3808024 50.8390507, 4.3807784 50.838806, 4.3807594 50.8385827, 4.3807448 50.8384092, 4.3807288 50.8382192, 4.3807113 50.8379493, 4.3807094 50.8379205, 4.3807076 50.8378793, 4.3807064 50.8378436, 4.3806819 50.837786, 4.3806352 50.8377367)",2,,,,,,,
187,191478746,False,Chaussée d'Etterbeek - Etterbeeksesteenweg,tertiary,30,67.62299999999999,"LINESTRING (4.3803531 50.8400553, 4.3803815 50.8401959, 4.3804107 50.8402563, 4.3804295 50.8402952, 4.3805566 50.8405585, 4.3805663 50.8405884, 4.3805658 50.840614, 4.380548 50.8406431)",4,,,,,,,
188,690903995,True,,cycleway,,18.635,"LINESTRING (4.3803531 50.8400553, 4.3802511 50.8401159, 4.3801599 50.8401702)",,,,,,,,
189,8511764,True,Rue de l'Infante Isabelle - Infante Isabellastraat,living_street,20,92.604,"LINESTRING (4.3557126 50.8455316, 4.3556327 50.8455958, 4.354936 50.8460304, 4.3548642 50.8460813, 4.3547903 50.846126)",,,,,,,,
190,32703581,False,Rue de l'Infante Isabelle - Infante Isabellastraat,living_street,20,61.62400000000001,"LINESTRING (4.3557126 50.8455316, 4.3557744 50.8454819, 4.356014 50.8452858, 4.35618 50.8451537, 4.3562561 50.8450965)",,,,,,,,
191,67485761,False,Putterie - Putterij,living_street,20,43.329,"LINESTRING (4.3557126 50.8455316, 4.3556071 50.8454886, 4.3551734 50.8453425)",,,,,,,,
192,"[68729482, 68729483, 510448261]",False,Putterie - Putterij,pedestrian,,57.071,"LINESTRING (4.3557126 50.8455316, 4.3557772 50.845558, 4.355808 50.8455705, 4.3558279 50.8455787, 4.3560316 50.8456577, 4.3564279 50.8457732)",,,building_passage,,,,,
193,8511570,True,Rue des Éperonniers - Spoormakersstraat,pedestrian,,124.563,"LINESTRING (4.3547233 50.8462825, 4.3546005 50.8462241, 4.354587 50.8462177, 4.354547 50.8461951, 4.3544594 50.8461458, 4.3543095 50.8460482, 4.3539485 50.8457852, 4.3535131 50.845467)",,,,,,,,
194,13844261,False,Rue du Marché aux Herbes - Grasmarkt,pedestrian,,59.552,"LINESTRING (4.3547233 50.8462825, 4.3546978 50.846304, 4.3546871 50.846313, 4.354551 50.8464554, 4.3543785 50.8466361, 4.3543676 50.8466587, 4.3543743 50.8466849, 4.3543933 50.846713, 4.354414 50.8467502)",,,,,,,,
195,39293792,True,Rue du Marché aux Herbes - Grasmarkt,living_street,20,31.743,"LINESTRING (4.3547233 50.8462825, 4.3549516 50.8463633, 4.3550207 50.8463981, 4.3550476 50.846424, 4.3550753 50.8464525)",,,,,,,,
196,521920111,False,,pedestrian,,35.649,"LINESTRING (4.3547233 50.8462825, 4.3547251 50.8463109, 4.3547267 50.8463356, 4.3548046 50.8465985)",,,,,,,,
197,32885396,False,Place Sainte-Catherine - Sint-Katelijneplein,pedestrian,,8.372,"LINESTRING (4.3484394 50.8505713, 4.3483282 50.8505441)",,,,,,,,
198,835148518,True,Place Sainte-Catherine - Sint-Katelijneplein,living_street,20,68.592,"LINESTRING (4.3484394 50.8505713, 4.3493474 50.8507991)",,,,,,,,
199,8250704,True,Rue Melsens - Melsensstraat,living_street,20,101.709,"LINESTRING (4.3496739 50.8501805, 4.34959 50.8502178, 4.3494633 50.8502668, 4.3494207 50.8502816, 4.3493738 50.8502913, 4.3485095 50.8504573, 4.348495 50.850466, 4.3484854 50.8504771, 4.3484658 50.8505203, 4.3484394 50.8505713)",,,,,,,,
200,792916929,True,Rue de la Vierge Noire - Zwarte Lievevrouwstraat,tertiary,30,84.037,"LINESTRING (4.3496739 50.8501805, 4.3496299 50.8501387, 4.3491393 50.8496728, 4.3491035 50.8496387, 4.3490777 50.8496142, 4.3490103 50.8495515)",2,,,,,,,
201,8511791,True,Place Sainte-Gudule - Sinter-Goedeleplein,residential,30,75.029,"LINESTRING (4.3608856 50.847622, 4.360852 50.8475852, 4.3607957 50.8475549, 4.3606564 50.8475088, 4.3605022 50.8474712, 4.3603269 50.8474471, 4.3602402 50.847439, 4.3601142 50.8474273, 4.3599041 50.8474197)",2,,,,,,,
202,8511798,True,Treurenberg,residential,30,63.117,"LINESTRING (4.3608856 50.847622, 4.3610785 50.8476015, 4.3616224 50.847602, 4.3616826 50.847602, 4.3617819 50.8476021)",,,,,,,,
203,39293792,True,Rue du Marché aux Herbes - Grasmarkt,living_street,20,11.501,"LINESTRING (4.3551173 50.8465871, 4.3550995 50.8466394, 4.3550719 50.8466862)",,,,,,,,
204,208258907,True,,service,20,11.888,"LINESTRING (4.3551173 50.8465871, 4.3551647 50.8466195, 4.3552578 50.8466416)",,,,,,parking_aisle,,
205,8511821,True,Rue du Bois Sauvage - Wildewoudstraat,residential,30,65.959,"LINESTRING (4.3607456 50.8483912, 4.3598396 50.8482342)",,,,,,,,
206,8250705,True,Rue du Bois Sauvage - Wildewoudstraat,residential,30,27.757,"LINESTRING (4.3607456 50.8483912, 4.3607677 50.8483156, 4.3608197 50.848146)",,,,,,,,
207,8511815,True,Rue de la Banque - Bankstraat,residential,30,121.126,"LINESTRING (4.3607456 50.8483912, 4.3607777 50.8485545, 4.3609362 50.8493948, 4.360959 50.849472)",,,,,,,,
208,254347861,True,Rue de la Fourche - Greepstraat,pedestrian,,35.507,"LINESTRING (4.3533796 50.8484337, 4.3533918 50.8484961, 4.3534297 50.8485666, 4.3534773 50.8486546, 4.3535151 50.8487065, 4.3535304 50.8487237, 4.3535398 50.8487343)",,,,,,,,
209,13844261,False,Rue du Marché aux Herbes - Grasmarkt,pedestrian,,59.552,"LINESTRING (4.354414 50.8467502, 4.3543933 50.846713, 4.3543743 50.8466849, 4.3543676 50.8466587, 4.3543785 50.8466361, 4.354551 50.8464554, 4.3546871 50.846313, 4.3546978 50.846304, 4.3547233 50.8462825)",,,,,,,,
210,18660379,False,Rue du Marché aux Herbes - Grasmarkt,pedestrian,,13.007,"LINESTRING (4.354414 50.8467502, 4.3542944 50.8467906, 4.35425 50.8468046)",,,,,,,,
211,32704284,False,Rue de la Montagne - Bergstraat,pedestrian,,31.181,"LINESTRING (4.354414 50.8467502, 4.3544944 50.8467349, 4.354601 50.8467357, 4.3546697 50.8467438, 4.354844 50.8467803)",,,,,,,,
212,521920119,False,,pedestrian,,32.687,"LINESTRING (4.354414 50.8467502, 4.3544744 50.8467028, 4.3548046 50.8465985)",,,,,,,,
213,137620480,True,Rue de la Fourche - Greepstraat,residential,30,51.108,"LINESTRING (4.3535398 50.8487343, 4.3535824 50.8487856, 4.3536035 50.8488113, 4.3537479 50.8489579, 4.353867 50.8490487, 4.3538873 50.8490658, 4.3539451 50.8491145)",,,,,,,,
214,30272694,True,Place Sainte-Gudule - Sinter-Goedeleplein,residential,30,80.871,"LINESTRING (4.3586288 50.8476776, 4.359721 50.8474465)",2,,,,,,,
215,"[30215224, 416389615]",False,Place Sainte-Gudule - Sinter-Goedeleplein,pedestrian,,43.42400000000001,"LINESTRING (4.3586288 50.8476776, 4.3586324 50.8477316, 4.3586412 50.8478551, 4.358678 50.8479771, 4.3587151 50.8480626)",,,,,,,,
216,421598998,True,Rue de l'Écuyer - Schildknaapsstraat,residential,30,25.786,"LINESTRING (4.3539451 50.8491145, 4.3541549 50.8490417, 4.3542685 50.8490046)",2,,,,,,,
217,8511783,True,Rue de la Collégiale - Collegialestraat,residential,30,50.631,"LINESTRING (4.3587151 50.8480626, 4.3586266 50.8480924, 4.358275 50.8482306, 4.3582298 50.8482501, 4.3582047 50.8482604, 4.3581025 50.8483025)",2,,,,,,,
218,"[30215224, 416389615]",False,Place Sainte-Gudule - Sinter-Goedeleplein,pedestrian,,43.424,"LINESTRING (4.3587151 50.8480626, 4.358678 50.8479771, 4.3586412 50.8478551, 4.3586324 50.8477316, 4.3586288 50.8476776)",,,,,,,,
219,8250729,True,Rue de l'Évêque - Bisschopsstraat,residential,30,16.364,"LINESTRING (4.350391 50.8508826, 4.3504722 50.850856, 4.350536 50.8508375, 4.3506022 50.8508206)",,,,,,,,
220,"[792916929, 792916930, 419772581]",True,Rue de la Vierge Noire - Zwarte Lievevrouwstraat,tertiary,30,81.122,"LINESTRING (4.350391 50.8508826, 4.3503546 50.8508364, 4.3501219 50.8506077, 4.3499836 50.8504773, 4.3499657 50.8504604, 4.3498083 50.8503051, 4.3497699 50.8502678)",2,,,,,,,
221,"[669290032, 199092322, 556301549]",True,Rue de l'Évêque - Bisschopsstraat,"['residential', 'living_street']","['30', '20']",65.16,"LINESTRING (4.3509761 50.8506953, 4.3510367 50.8506739, 4.3513269 50.8505504, 4.3514694 50.8504941, 4.351643 50.8504209, 4.3517338 50.8503605)",1,,,,,,,
222,31671957,True,Rue d'Arenberg - Arenbergstraat,tertiary,30,15.911,"LINESTRING (4.3572226 50.8477159, 4.3573943 50.8476225)",,,,,,,,
223,31671892,True,Boulevard de l'Impératrice - Keizerinlaan,residential,30,114.106,"LINESTRING (4.3572226 50.8477159, 4.3571695 50.8476141, 4.3570702 50.8474777, 4.3570078 50.8474009, 4.3569081 50.8472534, 4.356799 50.8470637, 4.3566746 50.8467864, 4.3566635 50.846755)",,,,,,,,
