,osmid,lanes,highway,junction,oneway,length,geometry,ref,name,maxspeed,service,bridge,tunnel,access,width
17803,368991478,,service,,False,98.27,"LINESTRING (4.4507503 50.4006195, 4.4520043 50.4009965)",,,,,,,,
17804,531707750,,secondary,,True,117.611,"LINESTRING (4.4538607 50.4295536, 4.4547734 50.4297816, 4.4551754 50.4298582, 4.4554358 50.4298573)",N569,Chaussée de Châtelet,,,,,,
17805,28511341,,residential,,False,20.85,"LINESTRING (4.4135103 50.4061886, 4.4135004 50.4060012)",,Rue Thomas Bonehill,,,,,,
17806,"[264951216, 28511341]",,residential,,False,126.31,"LINESTRING (4.4135103 50.4061886, 4.4135759 50.407061, 4.4135995 50.4073231)",,Rue Thomas Bonehill,,,yes,,,
17807,370084485,,service,,False,63.57299999999999,"LINESTRING (4.4135103 50.4061886, 4.4133452 50.4061926, 4.413194 50.4061965, 4.4131909 50.4062963, 4.4127671 50.4063022)",,,,parking_aisle,,,,
17808,370084485,,service,,False,63.57300000000001,"LINESTRING (4.4127671 50.4063022, 4.4131909 50.4062963, 4.413194 50.4061965, 4.4133452 50.4061926, 4.4135103 50.4061886)",,,,parking_aisle,,,,
17809,370326971,,service,,False,58.29000000000001,"LINESTRING (4.5023232 50.4303231, 4.5020466 50.430238, 4.5019942 50.4302204, 4.5018258 50.4301634, 4.5017486 50.4300506, 4.5017738 50.4300072)",,,,,,,no,
17810,"[370326970, 1018559954, 1018559955]",,service,,True,130.232,"LINESTRING (4.5023232 50.4303231, 4.502845 50.430283, 4.5030397 50.4303098, 4.5031098 50.43035, 4.5031024 50.4304129, 4.5030993 50.4304394, 4.5030379 50.4304942, 4.5028608 50.4304863, 4.502585 50.4304028, 4.5023924 50.4303444, 4.5023232 50.4303231)",,,,,,,no,
17811,371951175,,service,,False,90.792,"LINESTRING (4.4657749 50.4146023, 4.4654815 50.4144834, 4.4652616 50.4143689, 4.4647943 50.4140813)",,,,,,,,
17812,372869547,,residential,,False,69.234,"LINESTRING (4.4657749 50.4146023, 4.4662668 50.4141638, 4.4663505 50.4140994)",,Rue de Lodelinsart,,,,,,
17813,372869547,,residential,,False,73.84700000000001,"LINESTRING (4.4657749 50.4146023, 4.4657581 50.4146237, 4.4654969 50.4151616, 4.465414 50.4152178)",,Rue de Lodelinsart,,,,,,
17814,371951175,,service,,False,90.792,"LINESTRING (4.4647943 50.4140813, 4.4652616 50.4143689, 4.4654815 50.4144834, 4.4657749 50.4146023)",,,,,,,,
17815,372868375,,service,,False,65.185,"LINESTRING (4.4666101 50.4055212, 4.4664787 50.405462, 4.4661156 50.4053168, 4.4659593 50.4052604, 4.4659136 50.4052486, 4.4658123 50.4052482)",,,,,,,,
17816,297287038,,tertiary,,False,7.899,"LINESTRING (4.4702429 50.4085132, 4.4701917 50.4085763)",,Rue Grimard,50,,,,,
17817,297287038,,tertiary,,False,40.977,"LINESTRING (4.4702429 50.4085132, 4.4704163 50.4082995, 4.4705086 50.4081859)",,Rue Grimard,50,,,,,
17818,372868471,,service,,False,160.983,"LINESTRING (4.4702429 50.4085132, 4.4709263 50.4087634, 4.471232 50.4088523, 4.4715003 50.4089087, 4.4716961 50.4088916, 4.4719451 50.408497)",,,,,,,,
17819,372868473,,service,,False,17.556,"LINESTRING (4.4690135 50.4084987, 4.4692575 50.408526)",,,,,,,,
17820,372868473,,service,,False,66.439,"LINESTRING (4.4692575 50.408526, 4.4701917 50.4085763)",,,,,,,,
17821,372868473,,service,,False,17.556,"LINESTRING (4.4692575 50.408526, 4.4690135 50.4084987)",,,,,,,,
17822,372868472,,service,,False,28.451,"LINESTRING (4.4692575 50.408526, 4.469287 50.4083517, 4.469354 50.4082834)",,,,,,,,
17823,297287038,,tertiary,,False,40.977,"LINESTRING (4.4705086 50.4081859, 4.4704163 50.4082995, 4.4702429 50.4085132)",,Rue Grimard,50,,,,,
17824,297287038,,tertiary,,False,35.212,"LINESTRING (4.4705086 50.4081859, 4.4706212 50.4080473, 4.4707371 50.4079047)",,Rue Grimard,50,,,,,
17825,372868474,,service,,False,95.46600000000001,"LINESTRING (4.4705086 50.4081859, 4.4708244 50.4082847, 4.4709527 50.4083688, 4.4716903 50.4085841)",,,,,,,,
17826,372868474,,service,,False,95.466,"LINESTRING (4.4716903 50.4085841, 4.4709527 50.4083688, 4.4708244 50.4082847, 4.4705086 50.4081859)",,,,,,,,
17827,372868470,,service,,False,28.533,"LINESTRING (4.4699737 50.4081414, 4.4698856 50.4082232, 4.4696398 50.408208)",,,,,,,,
17828,232626762,,residential,,False,7.623,"LINESTRING (4.4696398 50.408208, 4.4696491 50.4081397)",,Rue de la Grèce,,,,,,
17829,232626762,,residential,,False,29.394,"LINESTRING (4.4696398 50.408208, 4.4696276 50.4082971, 4.469354 50.4082834)",,Rue de la Grèce,,,,,,
17830,372868470,,service,,False,28.533,"LINESTRING (4.4696398 50.408208, 4.4698856 50.4082232, 4.4699737 50.4081414)",,,,,,,,
17831,372868471,,service,,False,160.983,"LINESTRING (4.4719451 50.408497, 4.4716961 50.4088916, 4.4715003 50.4089087, 4.471232 50.4088523, 4.4709263 50.4087634, 4.4702429 50.4085132)",,,,,,,,
17832,297287038,,tertiary,,False,7.899,"LINESTRING (4.4701917 50.4085763, 4.4702429 50.4085132)",,Rue Grimard,50,,,,,
17833,372868473,,service,,False,66.439,"LINESTRING (4.4701917 50.4085763, 4.4692575 50.408526)",,,,,,,,
17834,297287038,,tertiary,,False,191.918,"LINESTRING (4.4701917 50.4085763, 4.4698599 50.4089852, 4.469471 50.4096221, 4.469197 50.4100922, 4.4691479 50.4101666)",,Rue Grimard,50,,,,,
17835,372868520,,service,,False,97.652,"LINESTRING (4.4679996 50.4091277, 4.467962 50.4096098, 4.4676593 50.4096095, 4.4675816 50.4096847, 4.4675464 50.409795)",,,,,,,,
17836,453979213,,service,,False,26.996,"LINESTRING (4.4627585 50.4193067, 4.4623916 50.4193722)",,,,,,,,
17837,372869994,,service,,False,271.939,"LINESTRING (4.4627585 50.4193067, 4.462877 50.419398, 4.4632923 50.4193675, 4.4638587 50.4191194, 4.4640491 50.4187708, 4.4635981 50.4185967, 4.4632011 50.4188189, 4.4627961 50.4191368, 4.4627585 50.4193067)",,,,,,,,
17838,372869994,,service,,False,271.939,"LINESTRING (4.4627585 50.4193067, 4.4627961 50.4191368, 4.4632011 50.4188189, 4.4635981 50.4185967, 4.4640491 50.4187708, 4.4638587 50.4191194, 4.4632923 50.4193675, 4.462877 50.419398, 4.4627585 50.4193067)",,,,,,,,
17839,372870643,,residential,,False,20.901,"LINESTRING (4.4643892 50.4204041, 4.4646182 50.4202856)",,,,,,,,
17840,183261574,,residential,,False,97.435,"LINESTRING (4.4635399 50.4208902, 4.4635184 50.4209059, 4.4633913 50.4209853, 4.4633725 50.4209947, 4.4633467 50.4209987, 4.4625951 50.4209524, 4.4622382 50.4209275)",,Rue Monin,,,,,,
17841,"[299909762, 183261574]",,residential,,False,41.559,"LINESTRING (4.4635399 50.4208902, 4.4637578 50.4207309, 4.463974 50.420817)",,"[""Rue de l'Aumônerie"", 'Rue Monin']",,,,,,
17842,372870761,,service,,False,46.681,"LINESTRING (4.4635399 50.4208902, 4.463405 50.4208252, 4.4629758 50.4206749)",,,,,,,,
17843,372870761,,service,,False,46.681,"LINESTRING (4.4629758 50.4206749, 4.463405 50.4208252, 4.4635399 50.4208902)",,,,,,,,
17844,206501922,,residential,,False,41.574,"LINESTRING (4.4687054 50.4200001, 4.4692919 50.4200121)",,Rue de la Persévérance,,,,,,
17845,206501922,,residential,,False,16.134,"LINESTRING (4.4687054 50.4200001, 4.4684778 50.4199954)",,Rue de la Persévérance,,,,,,
17846,372871358,,service,,False,62.003,"LINESTRING (4.4687054 50.4200001, 4.4687077 50.4201622, 4.4693283 50.4201704)",,,,,,,,
17847,61506835,,service,,False,22.319,"LINESTRING (4.4680724 50.4197635, 4.467838 50.4196294)",,Rue du Spirou,,,,,,
17848,61506835,,service,,False,38.599,"LINESTRING (4.4680724 50.4197635, 4.4684778 50.4199954)",,Rue du Spirou,,,,,,
17849,372871362,,service,,False,23.991,"LINESTRING (4.4680724 50.4197635, 4.4680693 50.4198563, 4.4680643 50.4199792)",,,,,,,,
17850,372871356,,service,,False,34.63,"LINESTRING (4.4693139 50.4204817, 4.4693283 50.4201704)",,,,,,,,
17851,372871360,,service,,False,37.25700000000001,"LINESTRING (4.4693782 50.4198682, 4.4691261 50.4198734, 4.4692919 50.4200121)",,,,,,,,
17852,372871357,,service,,False,44.058,"LINESTRING (4.4672378 50.419523, 4.4672325 50.4196102, 4.4675409 50.4196102, 4.467649 50.4195213)",,,,,,,,
17853,206501922,,residential,,False,20.906,"LINESTRING (4.4693355 50.4200159, 4.4696284 50.4200387)",,Rue de la Persévérance,,,,,,
17854,206501922,,residential,,False,3.118,"LINESTRING (4.4693355 50.4200159, 4.4692919 50.4200121)",,Rue de la Persévérance,,,,,,
17855,372871356,,service,,False,17.187,"LINESTRING (4.4693355 50.4200159, 4.4693283 50.4201704)",,,,,,,,
17856,206501922,,residential,,False,17.1,"LINESTRING (4.4678234 50.4199697, 4.4680643 50.4199792)",,Rue de la Persévérance,,,,,,
17857,206501922,,residential,,False,56.132,"LINESTRING (4.4678234 50.4199697, 4.4678099 50.4199692, 4.4670321 50.4199445)",,Rue de la Persévérance,,,,,,
17858,206640332,,service,,False,174.233,"LINESTRING (4.4678234 50.4199697, 4.4678069 50.4204952, 4.4670163 50.4204818, 4.4670321 50.4199445)",,,,,,,,
17859,372871361,,service,,False,37.857,"LINESTRING (4.4678234 50.4199697, 4.4678333 50.4198135, 4.467838 50.4196294)",,,,,,,,
17860,61506835,,service,,False,22.319,"LINESTRING (4.467838 50.4196294, 4.4680724 50.4197635)",,Rue du Spirou,,,,,,
17861,61506835,,service,,False,17.994,"LINESTRING (4.467838 50.4196294, 4.4676909 50.4195453, 4.467649 50.4195213)",,Rue du Spirou,,,,,,
17862,372871361,,service,,False,37.857,"LINESTRING (4.467838 50.4196294, 4.4678333 50.4198135, 4.4678234 50.4199697)",,,,,,,,
17863,206501922,,residential,,False,29.351,"LINESTRING (4.4680643 50.4199792, 4.4684778 50.4199954)",,Rue de la Persévérance,,,,,,
17864,206501922,,residential,,False,17.1,"LINESTRING (4.4680643 50.4199792, 4.4678234 50.4199697)",,Rue de la Persévérance,,,,,,
17865,372871359,,service,,False,52.261,"LINESTRING (4.4680643 50.4199792, 4.4680429 50.420449)",,,,,,,,
17866,372871362,,service,,False,23.991,"LINESTRING (4.4680643 50.4199792, 4.4680693 50.4198563, 4.4680724 50.4197635)",,,,,,,,
17867,372871356,,service,,False,17.187,"LINESTRING (4.4693283 50.4201704, 4.4693355 50.4200159)",,,,,,,,
17868,372871356,,service,,False,34.63,"LINESTRING (4.4693283 50.4201704, 4.4693139 50.4204817)",,,,,,,,
17869,372871358,,service,,False,62.003,"LINESTRING (4.4693283 50.4201704, 4.4687077 50.4201622, 4.4687054 50.4200001)",,,,,,,,
17870,372871359,,service,,False,52.261,"LINESTRING (4.4680429 50.420449, 4.4680643 50.4199792)",,,,,,,,
17871,372873072,,service,,False,91.879,"LINESTRING (4.4714006 50.4192872, 4.4711565 50.4193692, 4.4707791 50.4195629, 4.4706737 50.419617, 4.4703732 50.4197861)",,,,,,,,
17872,476296359,,residential,,False,46.71899999999999,"LINESTRING (4.4708132 50.4200989, 4.4703878 50.4197941, 4.4703732 50.4197861)",,Rue du Gazomètre,,,,,,
17873,476296359,,residential,,False,34.717,"LINESTRING (4.4703732 50.4197861, 4.4700017 50.4195825)",,Rue du Gazomètre,,,,,,
17874,372873072,,service,,False,91.879,"LINESTRING (4.4703732 50.4197861, 4.4706737 50.419617, 4.4707791 50.4195629, 4.4711565 50.4193692, 4.4714006 50.4192872)",,,,,,,,
17875,476296359,,residential,,False,46.71899999999999,"LINESTRING (4.4703732 50.4197861, 4.4703878 50.4197941, 4.4708132 50.4200989)",,Rue du Gazomètre,,,,,,
17876,372873073,,service,,False,80.664,"LINESTRING (4.4707487 50.4204509, 4.4700352 50.4204509, 4.4700401 50.4201801)",,,,,,,,
17877,60582487,,residential,,True,145.042,"LINESTRING (4.4689492 50.4182102, 4.4689708 50.4180933, 4.4689937 50.4180366, 4.4690259 50.4179963, 4.4690698 50.4179604, 4.4695878 50.4175989, 4.4701582 50.4171889)",,Rue de Combles,,,,,,
17878,372873443,,service,,False,86.17599999999999,"LINESTRING (4.4689492 50.4182102, 4.469274 50.418388, 4.4694292 50.4184754, 4.4694372 50.4185301, 4.4692495 50.418636, 4.4690194 50.4186878)",,,,,,,,
17879,372873522,,service,,False,113.78,"LINESTRING (4.4692334 50.4213516, 4.4686276 50.421999, 4.4686227 50.4222685)",,,,,,,,
17880,295849076,,secondary,,True,71.267,"LINESTRING (4.4686227 50.4222685, 4.4687805 50.4222692, 4.4689122 50.4222685, 4.4692018 50.422267, 4.4693562 50.4222684, 4.4693882 50.4222688, 4.4696286 50.4222703)",N29,Chaussée de Namur,,,,,,
17881,372873522,,service,,False,113.78,"LINESTRING (4.4686227 50.4222685, 4.4686276 50.421999, 4.4692334 50.4213516)",,,,,,,,
17882,372873838,,service,,False,119.128,"LINESTRING (4.4738102 50.4229765, 4.4736322 50.4229716, 4.4735598 50.4233818, 4.4737637 50.4233903, 4.4738102 50.4229765)",,,,parking_aisle,,,,
17883,372873838,,service,,False,119.128,"LINESTRING (4.4738102 50.4229765, 4.4737637 50.4233903, 4.4735598 50.4233818, 4.4736322 50.4229716, 4.4738102 50.4229765)",,,,parking_aisle,,,,
17884,372873838,,service,,False,32.027,"LINESTRING (4.4738102 50.4229765, 4.4738334 50.42277, 4.473946 50.4227324)",,,,parking_aisle,,,,
