,osmid,bridge,oneway,lanes,name,highway,maxspeed,length,geometry,ref,access,junction,tunnel,service,width,est_width
16260,460810668,,False,,,service,,13.061,"LINESTRING (5.5897533 50.6282063, 5.5898833 50.6282159, 5.5899375 50.6282178)",,,,,,,
16261,35914589,,True,,Rue Soubre,residential,50,18.325,"LINESTRING (5.5899375 50.6282178, 5.5899798 50.6280552)",,,,,,,
16262,460810668,,False,,,service,,13.061,"LINESTRING (5.5899375 50.6282178, 5.5898833 50.6282159, 5.5897533 50.6282063)",,,,,,,
16263,53497711,,False,,Rue Basse-Wez,residential,50,2.762,"LINESTRING (5.5881732 50.6315932, 5.5881774 50.6315685)",,,,,,,
16264,53497711,,False,,Rue Basse-Wez,residential,50,9.818,"LINESTRING (5.5881732 50.6315932, 5.5881619 50.6316812)",,,,,,,
16265,460820056,,False,,,service,,116.243,"LINESTRING (5.5881732 50.6315932, 5.5885295 50.6316555, 5.588878 50.6317155, 5.5890088 50.6317682, 5.5891142 50.631835, 5.5891328 50.6319087, 5.5891425 50.6319867, 5.5892138 50.6320394, 5.5893163 50.6320839, 5.5893914 50.6320815, 5.5894461 50.632061)",,,,,,,
16266,460820056,,False,,,service,,116.243,"LINESTRING (5.5894461 50.632061, 5.5893914 50.6320815, 5.5893163 50.6320839, 5.5892138 50.6320394, 5.5891425 50.6319867, 5.5891328 50.6319087, 5.5891142 50.631835, 5.5890088 50.6317682, 5.588878 50.6317155, 5.5885295 50.6316555, 5.5881732 50.6315932)",,,,,,,
16267,53497711,,False,,Rue Basse-Wez,residential,50,9.818,"LINESTRING (5.5881619 50.6316812, 5.5881732 50.6315932)",,,,,,,
16268,53497711,,False,,Rue Basse-Wez,residential,50,36.07,"LINESTRING (5.5881619 50.6316812, 5.5881485 50.6317137, 5.588102 50.632003)",,,,,,,
16269,"[798979480, 460821143]",,False,,,service,,117.969,"LINESTRING (5.5881619 50.6316812, 5.5888939 50.6318141, 5.5889111 50.6320206, 5.5892567 50.6322374, 5.5893329 50.6322776)",,,,,parking_aisle,,
16270,460824849,,False,,,service,,47.109,"LINESTRING (5.5906607 50.6352355, 5.5906493 50.6352264, 5.590614 50.6352123, 5.5905657 50.6352052, 5.5905229 50.6351864, 5.5905053 50.6351569, 5.5905118 50.635128, 5.5905387 50.6350997, 5.5905926 50.6350867, 5.5906419 50.635095, 5.59068 50.6351168, 5.5906967 50.6351398, 5.5906865 50.6351669, 5.5906633 50.6351934, 5.5906586 50.6352123, 5.5906607 50.6352355)",,,,,,,
16271,460824849,,False,,,service,,47.10899999999999,"LINESTRING (5.5906607 50.6352355, 5.5906586 50.6352123, 5.5906633 50.6351934, 5.5906865 50.6351669, 5.5906967 50.6351398, 5.59068 50.6351168, 5.5906419 50.635095, 5.5905926 50.6350867, 5.5905387 50.6350997, 5.5905118 50.635128, 5.5905053 50.6351569, 5.5905229 50.6351864, 5.5905657 50.6352052, 5.590614 50.6352123, 5.5906493 50.6352264, 5.5906607 50.6352355)",,,,,,,
16272,460824849,,False,,,service,,50.976,"LINESTRING (5.5906607 50.6352355, 5.5906967 50.6352642, 5.5907581 50.6353497, 5.5907497 50.6353886, 5.5907107 50.6354582, 5.5907181 50.6354888, 5.5908487 50.6356528)",,,,,,,
16273,460824849,,False,,,service,,50.976,"LINESTRING (5.5908487 50.6356528, 5.5907181 50.6354888, 5.5907107 50.6354582, 5.5907497 50.6353886, 5.5907581 50.6353497, 5.5906967 50.6352642, 5.5906607 50.6352355)",,,,,,,
16274,623556244,,False,3,Rue d'Amercœur,primary,50,73.172,"LINESTRING (5.5908487 50.6356528, 5.5907561 50.6356932, 5.5905895 50.6357827, 5.5904579 50.6359664, 5.5903751 50.6360969, 5.5903257 50.636198)",N3,,,,,,
