,osmid,oneway,lanes,ref,name,highway,maxspeed,length,bridge,junction,geometry,access,service,tunnel,width
1475,28139915,False,,,Rue du Sanctuaire,unclassified,50,177.25,,,"LINESTRING (4.8800232 50.4753256, 4.8795852 50.4756054, 4.879528 50.4756317, 4.879456 50.4756392, 4.8793727 50.4756256, 4.8792968 50.4755929, 4.8789533 50.4753662, 4.8785668 50.4751391, 4.8783126 50.4750403, 4.8781159 50.4749482)",,,,
1476,28139915,False,,,Rue du Sanctuaire,unclassified,50,131.375,,,"LINESTRING (4.8800232 50.4753256, 4.8812318 50.4745888, 4.8813596 50.4745056)",,,,
1477,28139916,False,,,Tienne de Bouge,residential,50,144.342,,,"LINESTRING (4.8800232 50.4753256, 4.8801154 50.4753882, 4.8814191 50.4762721)",,,,
1478,28139915,False,,,Rue du Sanctuaire,unclassified,50,177.25,,,"LINESTRING (4.8781159 50.4749482, 4.8783126 50.4750403, 4.8785668 50.4751391, 4.8789533 50.4753662, 4.8792968 50.4755929, 4.8793727 50.4756256, 4.879456 50.4756392, 4.879528 50.4756317, 4.8795852 50.4756054, 4.8800232 50.4753256)",,,,
1479,28139927,False,,,Rue de Sardanson,residential,50,90.889,,,"LINESTRING (4.8781159 50.4749482, 4.8777516 50.4750282, 4.876902 50.4752152)",,,,
1480,28139927,False,,,Rue de Sardanson,residential,50,94.137,,,"LINESTRING (4.8781159 50.4749482, 4.8781352 50.4747298, 4.8780937 50.4744941, 4.8780274 50.474382, 4.8779107 50.4742381, 4.8778264 50.4741596, 4.877814 50.4741482)",,,,
1481,28139927,False,,,Rue de Sardanson,residential,50,56.247,,,"LINESTRING (4.876902 50.4752152, 4.8761475 50.4753743)",,,,
1482,28139927,False,,,Rue de Sardanson,residential,50,90.889,,,"LINESTRING (4.876902 50.4752152, 4.8777516 50.4750282, 4.8781159 50.4749482)",,,,
1483,"[571714925, 107717869]",False,,,Rue de Sardanson,"['residential', 'path']",,139.247,,,"LINESTRING (4.876902 50.4752152, 4.8768227 50.475288, 4.8766126 50.4754807, 4.8765396 50.4755575, 4.8764061 50.4755751, 4.8761871 50.4755774, 4.876001 50.4755853, 4.8757924 50.4756157, 4.8756141 50.4757192, 4.8754892 50.4758242, 4.8753999 50.4758701)",,,,
1484,28139927,False,,,Rue de Sardanson,residential,50,56.247,,,"LINESTRING (4.8761475 50.4753743, 4.876902 50.4752152)",,,,
1485,281425189,False,,,,service,,8.791,,,"LINESTRING (4.8761475 50.4753743, 4.8760681 50.4753135)",,parking_aisle,,
1486,28139927,False,,,Rue de Sardanson,residential,50,75.479,,,"LINESTRING (4.8761475 50.4753743, 4.8758859 50.4754656, 4.8754603 50.475712, 4.8753176 50.4757946)",,,,
1487,28139916,False,,,Tienne de Bouge,residential,50,144.342,,,"LINESTRING (4.8814191 50.4762721, 4.8801154 50.4753882, 4.8800232 50.4753256)",,,,
1488,28139918,False,,,Rue du Village,residential,50,138.934,,,"LINESTRING (4.8814191 50.4762721, 4.8821082 50.4757694, 4.8826457 50.4752981)",,,,
1489,8233619,False,,,Rue Saint-Luc,tertiary,50,3.985,,,"LINESTRING (4.8828487 50.4772097, 4.8828082 50.4772346)",,,,
1490,8233619,False,,,Rue Saint-Luc,tertiary,50,181.198,,,"LINESTRING (4.8828487 50.4772097, 4.8834241 50.4768336, 4.8836872 50.4766652, 4.8842175 50.476189, 4.8842513 50.4761586, 4.8844474 50.4759463)",,,,
1491,28139921,True,,,Tienne de Bouge,residential,50,145.271,,,"LINESTRING (4.8828487 50.4772097, 4.8827964 50.4771746, 4.8814191 50.4762721)",,,,
1492,8233619,False,,,Rue Saint-Luc,tertiary,50,181.198,,,"LINESTRING (4.8844474 50.4759463, 4.8842513 50.4761586, 4.8842175 50.476189, 4.8836872 50.4766652, 4.8834241 50.4768336, 4.8828487 50.4772097)",,,,
1493,28139919,False,,,Avenue Baudouin Premier,residential,50,9.765,,,"LINESTRING (4.8844474 50.4759463, 4.884373 50.4759142, 4.8843308 50.4758995)",,,,
1494,161232853,False,,,Rue Saint-Luc,tertiary,50,216.053,,,"LINESTRING (4.8844474 50.4759463, 4.8846133 50.4757396, 4.8846459 50.4756996, 4.884992 50.4752677, 4.8850496 50.4742238, 4.8850571 50.4740874)",,,,
1495,28139918,False,,,Rue du Village,residential,50,138.934,,,"LINESTRING (4.8826457 50.4752981, 4.8821082 50.4757694, 4.8814191 50.4762721)",,,,
1496,28139919,False,,,Avenue Baudouin Premier,residential,50,126.731,,,"LINESTRING (4.8826457 50.4752981, 4.8815377 50.4746008, 4.8813596 50.4745056)",,,,
1497,28139919,False,,,Avenue Baudouin Premier,residential,50,136.732,,,"LINESTRING (4.8826457 50.4752981, 4.8842175 50.475854, 4.8843308 50.4758995)",,,,
1498,37949569,False,,,Avenue Baudouin Premier,residential,30,83.562,,,"LINESTRING (4.8784593 50.4730923, 4.8792964 50.4736223)",,,,
1499,32318093,False,,,Rue Charles Simon,residential,,34.084,,,"LINESTRING (4.8784593 50.4730923, 4.8782282 50.4731078, 4.8781068 50.473143, 4.8780293 50.4731978)",,,,
1500,161232852,False,,,Rue Charles Simon,residential,,264.731,,,"LINESTRING (4.8784593 50.4730923, 4.8798912 50.4729667, 4.8800976 50.4729319, 4.8820367 50.4724498)",,,,
1501,31288461,True,2,N91,Chaussée de Louvain,primary,50,31.238,,,"LINESTRING (4.8743055 50.4750568, 4.8745946 50.4752691)",,,,
1502,281425188,True,,,,service,,17.66,,,"LINESTRING (4.8743055 50.4750568, 4.8744807 50.4749437)",,parking_aisle,,
1503,626262783,False,,,Boulevard d'Herbatte,tertiary,30,47.702,,,"LINESTRING (4.8729715 50.4689854, 4.8723553 50.4691592)",,,,
1504,33587460,False,,,Rue des Carrières,residential,,153.956,,,"LINESTRING (4.8729715 50.4689854, 4.8730237 50.469038, 4.8740986 50.4701696)",,,,
1505,161232845,False,,,Boulevard d'Herbatte,tertiary,30,164.113,,,"LINESTRING (4.8729715 50.4689854, 4.8731174 50.4689493, 4.8737666 50.468781, 4.8741291 50.4686804, 4.8742231 50.4686602, 4.8748343 50.4685288, 4.8751508 50.468493)",,,,
1506,161232845,False,,,Boulevard d'Herbatte,tertiary,30,178.414,,,"LINESTRING (4.8751508 50.468493, 4.8765901 50.4683736, 4.8776505 50.4682857)",,,,
1507,161232845,False,,,Boulevard d'Herbatte,tertiary,30,164.113,,,"LINESTRING (4.8751508 50.468493, 4.8748343 50.4685288, 4.8742231 50.4686602, 4.8741291 50.4686804, 4.8737666 50.468781, 4.8731174 50.4689493, 4.8729715 50.4689854)",,,,
1508,"[535154044, 28139926]",True,,,"['Rue des Verriers', 'Rue Saint-Fiacre']",residential,,217.602,,,"LINESTRING (4.8751508 50.468493, 4.8751671 50.4685276, 4.8753365 50.4688872, 4.8752997 50.4689512, 4.8752491 50.4689884, 4.8749482 50.4691766, 4.8744797 50.469467, 4.8740986 50.4701696)",,,,
1509,33587460,False,,,Rue des Carrières,residential,,153.956,,,"LINESTRING (4.8740986 50.4701696, 4.8730237 50.469038, 4.8729715 50.4689854)",,,,
1510,589314069,False,,,Rue des Carrières,residential,50,314.374,,,"LINESTRING (4.8740986 50.4701696, 4.8742548 50.4705167, 4.8744472 50.4707326, 4.8747008 50.4709313, 4.8752142 50.4713059, 4.8753316 50.4715348, 4.8754889 50.4717448, 4.8756193 50.4719645, 4.8757824 50.4721745, 4.8760834 50.4725053, 4.8761926 50.4726269)",,,,
