,osmid,lanes,name,highway,maxspeed,oneway,length,ref,geometry,width,service,junction,access,bridge,tunnel
8799,91022689,,,path,,False,96.691,,"LINESTRING (4.6800714 50.8415836, 4.680481 50.8407534)",,,,,,
8800,91022689,,,path,,False,117.843,,"LINESTRING (4.6800714 50.8415836, 4.6799663 50.8417981, 4.6797572 50.8422078, 4.6795582 50.8425926)",,,,,,
8801,112966282,,,path,,False,121.144,,"LINESTRING (4.6800714 50.8415836, 4.6814665 50.841868, 4.6816476 50.8419199, 4.6816798 50.8419522)",,,,,,
8802,75102543,,Parnassusbergdreef,track,,False,172.328,,"LINESTRING (4.695665 50.8377393, 4.6933092 50.8373052)",,,,,,
8803,75102543,,Parnassusbergdreef,track,,False,21.913,,"LINESTRING (4.695665 50.8377393, 4.6959603 50.837803)",,,,,,
8804,112966283,,,path,,False,350.682,,"LINESTRING (4.695665 50.8377393, 4.6955284 50.8372344, 4.6955928 50.8370247, 4.6959146 50.8365369, 4.6962732 50.8364424, 4.6963806 50.836286, 4.6964171 50.8361165, 4.696494 50.8357777, 4.6965369 50.8354863, 4.6966871 50.8351611, 4.6968588 50.8350391, 4.6970358 50.8349036)",,,,no,,
8805,117926047,,Filosofendreef,track,,False,101.675,,"LINESTRING (4.6816798 50.8419522, 4.6820981 50.8410768)",,,,,,
8806,117926047,,Filosofendreef,track,,False,111.288,,"LINESTRING (4.6816798 50.8419522, 4.6812566 50.8429167)",,,,,,
8807,112966282,,,path,,False,121.144,,"LINESTRING (4.6816798 50.8419522, 4.6816476 50.8419199, 4.6814665 50.841868, 4.6800714 50.8415836)",,,,,,
8808,388243744,,,track,,False,179.312,,"LINESTRING (4.6816798 50.8419522, 4.6819518 50.8420318, 4.6822654 50.8420784, 4.6830283 50.8422246, 4.683446 50.8423, 4.6838222 50.8423804, 4.683926 50.8423978, 4.6839984 50.8424004, 4.6840829 50.8424063, 4.6841202 50.8424109)",,,,no,,
8809,112966283,,,path,,False,350.682,,"LINESTRING (4.6970358 50.8349036, 4.6968588 50.8350391, 4.6966871 50.8351611, 4.6965369 50.8354863, 4.696494 50.8357777, 4.6964171 50.8361165, 4.6963806 50.836286, 4.6962732 50.8364424, 4.6959146 50.8365369, 4.6955928 50.8370247, 4.6955284 50.8372344, 4.695665 50.8377393)",,,,no,,
8810,113997729,,,service,,False,14.046,,"LINESTRING (4.7067747 50.860765, 4.7069735 50.8607505)",,driveway,,,,
8811,301615094,2,Pakenstraat,tertiary,50,False,5.844,,"LINESTRING (4.7067747 50.860765, 4.7068287 50.860805)",,,,,,
8812,301615094,2,Pakenstraat,tertiary,50,False,26.904,,"LINESTRING (4.7067747 50.860765, 4.7066469 50.8606617, 4.7065647 50.8605637)",,,,,,
8813,113997729,,,service,,False,44.626,,"LINESTRING (4.7076064 50.8607121, 4.7075459 50.8607158, 4.7071596 50.8607392, 4.7069735 50.8607505)",,driveway,,,,
8814,113997728,1,Duinberglaan,residential,30,False,53.124,,"LINESTRING (4.7021755 50.8620806, 4.7021719 50.861811, 4.7021962 50.8618028, 4.7022855 50.8617726, 4.7024785 50.8618078)",,,,,,
8815,542834822,,,track,,False,154.526,,"LINESTRING (4.648418 50.8643786, 4.6483752 50.8643349, 4.6481664 50.8641055, 4.6480028 50.863948, 4.647767 50.8637055, 4.6475738 50.8635234, 4.6474022 50.8633077, 4.6473268 50.8632319, 4.6472911 50.8631863)",,,,,,
8816,"[325304005, 542834823]",,,track,,False,644.2420000000001,,"LINESTRING (4.648418 50.8643786, 4.6485955 50.8645693, 4.6489308 50.8648927, 4.6491025 50.8650484, 4.6492527 50.8652228, 4.648553 50.865495, 4.648381 50.865601, 4.648085 50.865884, 4.648003 50.866028, 4.647964 50.86615, 4.647962 50.866382, 4.648066 50.866724, 4.648189 50.866904, 4.64844 50.867097, 4.648678 50.867237, 4.649031 50.867384, 4.649528 50.867515, 4.650957 50.867771, 4.651228 50.867848, 4.651705 50.868025, 4.651948 50.868151)",,,,,,
8817,"[13823568, 13823566]",2,Wilselsesteenweg,tertiary,30,False,62.008,,"LINESTRING (4.7288589 50.8988961, 4.7282349 50.8991217, 4.7280946 50.8991764)",,,,,,
8818,"[13823568, 125835607]",2,Wilselsesteenweg,tertiary,30,False,255.378,,"LINESTRING (4.7288589 50.8988961, 4.7293715 50.8987167, 4.7307611 50.8982704, 4.7319446 50.8979082, 4.7320671 50.8978693, 4.7321059 50.8978573)",,,,,,
8819,473321328,,,service,,False,82.375,,"LINESTRING (4.7288589 50.8988961, 4.7292294 50.8992206, 4.7292348 50.899251, 4.7295218 50.8995031)",,,,,,
8820,13799521,,Hulsberg,residential,30,True,21.008,,"LINESTRING (4.7203581 50.9079147, 4.7204064 50.9078369, 4.720437 50.9077333)",,,,,,
8821,14394966,,,path,,False,38.536,,"LINESTRING (4.7203581 50.9079147, 4.720454 50.9079792, 4.7207101 50.9081806)",,,,,,
8822,72023193,,,path,,False,193.667,,"LINESTRING (4.7034687 50.8462982, 4.7007109 50.8463356)",,,,,,
8823,119260780,,Kerspelstraat,unclassified,,False,104.416,,"LINESTRING (4.7034687 50.8462982, 4.7030216 50.8471938)",,,,,,
8824,"[75104689, 119260780]",,Kerspelstraat,unclassified,,False,126.218,,"LINESTRING (4.7034687 50.8462982, 4.7035425 50.8461698, 4.7036736 50.8459008, 4.7037676 50.845715, 4.7040003 50.8452141)",,,,,,
8825,13841629,,Casinolaan,residential,,False,10.502,,"LINESTRING (4.6970277 50.9294936, 4.6968994 50.9295424)",,,,,,
8826,439397688,,,cycleway,,False,4.457,,"LINESTRING (4.6970277 50.9294936, 4.6969822 50.9294656)",,,,,,
8827,13841629,,Casinolaan,residential,,False,13.318,,"LINESTRING (4.6970277 50.9294936, 4.6970665 50.9294769, 4.6971142 50.9293919)",,,,,,
8828,116386907,,,cycleway,,True,111.262,,"LINESTRING (4.6970277 50.9294936, 4.6970675 50.9295192, 4.6970585 50.9295554, 4.6969999 50.9296368, 4.6969827 50.9297073, 4.6970212 50.9298701, 4.6970127 50.9299338, 4.6971344 50.9304672)",,,,,,
8829,4390631,,Baron Descampslaan,tertiary,30,False,61.604,,"LINESTRING (4.6923478 50.924523, 4.6923847 50.9248601, 4.6924689 50.9250696)",,,,,,
8830,116386911,,,cycleway,,False,46.20699999999999,,"LINESTRING (4.6923478 50.924523, 4.6925446 50.9242473, 4.6924459 50.9241527)",,,,,,
8831,160041219,,,service,,False,40.963,,"LINESTRING (4.6923478 50.924523, 4.6925859 50.9245054, 4.6929278 50.924533)",,,,,,
8832,438252635,,Baron Descampslaan,tertiary,30,False,35.458,,"LINESTRING (4.6923478 50.924523, 4.6923182 50.9242689, 4.6922875 50.9242078)",,,,,,
8833,206745400,,,cycleway,,True,12.359,,"LINESTRING (4.6969822 50.9294656, 4.6971142 50.9293919)",,,,,,
8834,439397688,,,cycleway,,False,4.457,,"LINESTRING (4.6969822 50.9294656, 4.6970277 50.9294936)",,,,,,
